ec	n_uniprot_xrefs	description
1.14.13.189	1	5-methyl-1-naphthoate 3-hydroxylase.
1.14.13.195	2	L-ornithine N(5)-monooxygenase (NADPH).
1.14.13.196	14	L-ornithine N(5)-monooxygenase [NAD(P)H].
1.14.13.200	2	tetracenomycin A2 monooxygenase-diooxygenase.
1.14.13.208	2	benzoyl-CoA 2,3-epoxidase.
1.14.13.209	1	salicyloyl-CoA 5-hydroxylase.
1.14.13.210	1	4-methyl-5-nitrocatechol 5-monooxygenase.
1.14.13.211	3	rifampicin monooxygenase.
1.14.13.212	0	1,3,7-trimethyluric acid 5-monooxygenase.
1.14.13.215	1	protoasukamycin 4-monooxygenase.
1.14.13.216	1	asperlicin C monooxygenase.
1.14.13.217	1	protodeoxyviolaceinate monooxygenase.
1.14.13.218	2	5-methylphenazine-1-carboxylate 1-monooxygenase.
1.14.13.219	1	resorcinol 4-hydroxylase (NADPH).
1.14.13.220	1	resorcinol 4-hydroxylase (NADH).
1.14.13.222	1	aurachin C monooxygenase/isomerase.
1.14.13.223	1	3-hydroxy-4-methyl-anthranilyl-[aryl-carrier protein] 5-monooxygenase.
1.14.13.224	1	violacein synthase.
1.14.13.225	17	F-actin monooxygenase.
1.14.13.226	1	acetone monooxygenase (methyl acetate-forming).
1.14.13.227	8	propane 2-monooxygenase.
1.14.13.228	1	jasmomic acid 12-hydroxylase.
1.14.13.229	1	tert-butanol monooxygenase.
1.14.13.230	0	butane monooxygenase (soluble).
1.14.13.231	4	tetracycline 11a-monooxygenase.
1.14.13.232	2	6-methylpretetramide 4-monooxygenase.
1.14.13.233	1	4-hydroxy-6-methylpretetramide 12a-monooxygenase.
1.14.13.234	1	12-dehydrotetracycline 5-monooxygenase.
1.14.13.235	2	indole-3-acetate monooxygenase.
1.14.13.236	3	toluene 4-monooxygenase.
1.14.13.237	5	aliphatic glucosinolate S-oxygenase.
1.14.13.238	1	dimethylamine monooxygenase.
1.14.13.239	7	carnitine monooxygenase.
1.14.13.240	3	2-polyprenylphenol 6-hydroxylase.
1.14.13.241	0	5-pyridoxate monooxygenase.
1.14.13.242	2	3-hydroxy-2-methylpyridine-5-carboxylate monooxygenase.
1.14.13.243	0	toluene 2-monooxygenase.
1.14.13.244	6	phenol 2-monooxygenase (NADH).
1.14.13.245	0	assimilatory dimethylsulfide S-monooxygenase.
1.14.13.246	1	4beta-methylsterol monooxygenase.
1.14.13.247	1	stachydrine N-demethylase.
1.14.13.248	3	L-aspartate N-monooxygenase (nitrosuccinate-forming).
1.14.13.249	3	3-amino-4-hydroxybenzoate 2-monooxygenase.
1.14.13.250	1	nitrosourea synthase.
1.14.13.251	6	glycine betaine monooxygenase.
1.14.13.252	2	putrescine N-hydroxylase.
1.14.13.253	8	3-demethoxyubiquinone 3-hydroxylase (NADH).
1.14.13.n6	0	hexahomomethionine N-hydroxylase.
1.14.13.n7	10	4-nitrophenol 2-hydroxylase.
1.14.14.1	232	unspecific monooxygenase.
1.14.14.3	19	bacterial luciferase.
1.14.14.5	82	alkanesulfonate monooxygenase.
1.14.14.8	1	anthranilate 3-monooxygenase (FAD).
1.14.14.9	8	4-hydroxyphenylacetate 3-monooxygenase.
1.14.14.10	1	nitrilotriacetate monooxygenase.
1.14.14.11	2	styrene monooxygenase.
1.14.14.12	3	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase.
1.14.14.13	2	4-(gamma-L-glutamylamino)butanoyl-[BtrI acyl-carrier protein]monooxygenase.
1.14.14.14	24	aromatase.
1.14.14.15	1	(3S)-3-amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrierprotein SgcC2] monooxygenase.
1.14.14.16	9	steroid 21-monooxygenase.
1.14.14.17	20	squalene monooxygenase.
1.14.14.18	54	heme oxygenase (biliverdin-producing).
1.14.14.19	24	steroid 17alpha-monooxygenase.
1.14.14.20	0	phenol 2-monooxygenase (FADH2).
1.14.14.21	5	dibenzothiophene monooxygenase.
1.14.14.22	3	dibenzothiophene sulfone monooxygenase.
1.14.14.23	6	cholesterol 7alpha-monooxygenase.
1.14.14.24	3	vitamin D 25-hydroxylase.
1.14.14.25	2	cholesterol 24-hydroxylase.
1.14.14.26	9	24-hydroxycholesterol 7alpha-hydroxylase.
1.14.14.27	1	resorcinol 4-hydroxylase (FADH2).
1.14.14.28	1	long-chain alkane monooxygenase.
1.14.14.29	3	25/26-hydroxycholesterol 7alpha-hydroxylase.
1.14.14.30	1	isobutylamine N-monooxygenase.
1.14.14.31	0	ipsdienol synthase.
1.14.14.32	24	17alpha-hydroxyprogesterone deacetylase.
1.14.14.33	0	ethylenediaminetetraacetate monooxygenase.
1.14.14.34	0	methanesulfonate monooxygenase (FMNH2).
1.14.14.35	2	dimethylsulfone monooxygenase.
1.14.14.36	1	tyrosine N-monooxygenase.
1.14.14.37	1	4-hydroxyphenylacetaldehyde oxime monooxygenase.
1.14.14.38	4	valine N-monooxygenase.
1.14.14.39	4	isoleucine N-monooxygenase.
1.14.14.40	3	phenylalanine N-monooxygenase.
1.14.14.41	1	(E)-2-methylbutanal oxime monooxygenase.
1.14.14.42	2	homomethionine N-monooxygenase.
1.14.14.43	1	(methylsulfanyl)alkanaldoxime N-monooxygenase.
1.14.14.44	1	phenylacetaldehyde oxime monooxygenase.
1.14.14.45	1	aromatic aldoxime N-monooxygenase.
1.14.14.46	1	pimeloyl-[acyl-carrier protein] synthase.
1.14.14.47	9	nitric-oxide synthase (flavodoxin).
1.14.14.48	2	jasmonoyl-L-amino acid 12-hydroxylase.
1.14.14.49	1	12-hydroxyjasmonoyl-L-amino acid 12-hydroxylase.
1.14.14.50	1	tabersonine 3-oxygenase.
1.14.14.51	11	(S)-limonene 6-monooxygenase.
1.14.14.52	3	(S)-limonene 7-monooxygenase.
1.14.14.53	7	(R)-limonene 6-monooxygenase.
1.14.14.54	1	phenylacetate 2-hydroxylase.
1.14.14.55	1	quinine 3-monooxygenase.
1.14.14.56	1	1,8-cineole 2-exo-monooxygenase.
1.14.14.57	1	taurochenodeoxycholate 6alpha-hydroxylase.
1.14.14.58	3	trimethyltridecatetraene synthase.
1.14.14.59	2	dimethylnonatriene synthase.
1.14.14.60	4	ferruginol monooxygenase.
1.14.14.61	4	carnosic acid synthase.
1.14.14.62	1	salviol synthase.
1.14.14.63	1	beta-amyrin 16beta-monooxygenase.
1.14.14.64	1	beta-amyrin 6beta-monooxygenase.
1.14.14.65	1	sugiol synthase.
1.14.14.66	0	marmesin synthase.
1.14.14.67	1	11-hydroxysugiol 20-monooxygenase.
1.14.14.68	1	syn-pimaradiene 3-monooxygenase.
1.14.14.69	1	ent-cassadiene hydroxylase.
1.14.14.70	1	ent-sandaracopimaradiene 3-hydroxylase.
1.14.14.71	1	cucurbitadienol 11-hydroxylase.
1.14.14.72	1	drimenol monooxygenase.
1.14.14.73	2	albendazole monooxygenase (sufoxide-forming).
1.14.14.74	1	albendazole monooxygenase (hydroxylating).
1.14.14.75	1	fenbendazole monooxygenase (4'-hydroxylating).
1.14.14.76	1	ent-isokaurene C2/C3-hydroxylase.
1.14.14.77	1	phenylacetonitrile alpha-monooxygenase.
1.14.14.78	2	phylloquinone omega-hydroxylase.
1.14.14.79	7	docosahexaenoic acid omega-hydroxylase.
1.14.14.80	25	long-chain fatty acid omega-monooxygenase.
1.14.14.81	8	flavonoid 3',5'-hydroxylase.
1.14.14.82	5	flavonoid 3'-monooxygenase.
1.14.14.83	2	geraniol 8-hydroxylase.
1.14.14.84	1	linalool 8-monooxygenase.
1.14.14.85	1	7-deoxyloganate 7-hydroxylase.
1.14.14.86	6	ent-kaurene monooxygenase.
1.14.14.87	3	2-hydroxyisoflavanone synthase.
1.14.14.88	1	isoflavone 3'-hydroxylase.
1.14.14.89	1	4'-methoxyisoflavone 2'-hydroxylase.
1.14.14.90	1	isoflavone 2'-hydroxylase.
1.14.14.91	19	trans-cinnamate 4-monooxygenase.
1.14.14.92	2	benzoate 4-monooxygenase.
1.14.14.93	1	3,9-dihydroxypterocarpan 6a-monooxygenase.
1.14.14.94	5	leukotriene-B4 20-monooxygenase.
1.14.14.95	6	germacrene A hydroxylase.
1.14.14.96	0	5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase.
1.14.14.97	1	methyltetrahydroprotoberberine 14-monooxygenase.
1.14.14.98	2	protopine 6-monooxygenase.
1.14.14.99	4	(S)-limonene 3-monooxygenase.
1.14.14.100	0	dihydrosanguinarine 10-monooxygenase.
1.14.14.101	0	dihydrochelirubine 12-monooxygenase.
1.14.14.102	4	N-methylcoclaurine 3'-monooxygenase.
1.14.14.103	2	tabersonine 16-hydroxylase.
1.14.14.104	1	vinorine hydroxylase.
1.14.14.105	2	taxane 10beta-hydroxylase.
1.14.14.106	2	taxane 13alpha-hydroxylase.
1.14.14.107	4	ent-kaurenoic acid monooxygenase.
1.14.14.108	2	2,5-diketocamphane 1,2-monooxygenase.
1.14.14.109	1	3-hydroxyindolin-2-one monooxygenase.
1.14.14.110	0	2-hydroxy-1,4-benzoxazin-3-one monooxygenase.
1.14.14.111	1	9beta-pimara-7,15-diene oxidase.
1.14.14.112	2	ent-cassa-12,15-diene 11-hydroxylase.
1.14.14.113	1	alpha-humulene 10-hydroxylase.
1.14.14.114	1	amorpha-4,11-diene 12 monooxygenase.
1.14.14.115	2	11-oxo-beta-amyrin 30-oxidase.
1.14.14.116	2	averantin hydroxylase.
1.14.14.117	4	aflatoxin B synthase.
1.14.14.118	3	tryprostatin B 6-hydroxylase.
1.14.14.119	3	fumitremorgin C monooxygenase.
1.14.14.120	1	dammarenediol 12-hydroxylase.
1.14.14.121	1	protopanaxadiol 6-hydroxylase.
1.14.14.122	2	oryzalexin E synthase.
1.14.14.123	1	oryzalexin D synthase.
1.14.14.124	3	dihydromonacolin L hydroxylase.
1.14.14.125	3	monacolin L hydroxylase.
1.14.14.126	10	beta-amyrin 28-monooxygenase.
1.14.14.127	1	methyl farnesoate epoxidase.
1.14.14.128	1	farnesoate epoxidase.
1.14.14.129	1	long-chain acyl-CoA omega-monooxygenase.
1.14.14.130	4	laurate 7-monooxygenase.
1.14.14.131	1	bursehernin 5'-monooxygenase.
1.14.14.132	1	(-)-4'-demethyl-deoxypodophyllotoxin 4-hydroxylase.
1.14.14.133	1	1,8-cineole 2-endo-monooxygenase.
1.14.14.134	1	beta-amyrin 24-hydroxylase.
1.14.14.135	0	glyceollin synthase.
1.14.14.136	0	deoxysarpagine hydroxylase.
1.14.14.137	12	(+)-abscisic acid 8'-hydroxylase.
1.14.14.138	1	lithocholate 6beta-hydroxylase.
1.14.14.139	4	5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase.
1.14.14.141	3	psoralen synthase.
1.14.14.142	0	8-dimethylallylnaringenin 2'-hydroxylase.
1.14.14.143	1	(+)-menthofuran synthase.
1.14.14.144	0	abieta-7,13-diene hydroxylase.
1.14.14.145	1	abieta-7,13-dien-18-ol hydroxylase.
1.14.14.146	0	geranylgeraniol 18-hydroxylase.
1.14.14.147	3	22alpha-hydroxysteroid 23-monooxygenase.
1.14.14.148	1	angelicin synthase.
1.14.14.149	1	5-epiaristolochene 1,3-dihydroxylase.
1.14.14.150	3	costunolide synthase.
1.14.14.151	1	premnaspirodiene oxygenase.
1.14.14.152	1	beta-amyrin 11-oxidase.
1.14.14.153	1	indole-2-monooxygenase.
1.14.14.154	35	sterol 14alpha-demethylase.
1.14.14.155	1	3,6-diketocamphane 1,2-monooxygenase.
1.14.14.156	3	tryptophan N-monooxygenase.
1.14.14.157	1	indolin-2-one monooxygenase.
1.14.14.158	1	carotene epsilon-hydroxylase.
1.14.14.159	1	dolabradiene monooxygenase.
1.14.14.160	1	zealexin A1 synthase.
1.14.14.161	1	nepetalactol monooxygenase.
1.14.14.162	2	flavanone 2-hydroxylase.
1.14.14.163	1	(S)-1-hydroxy-N-methylcanadine 13-hydroxylase.
1.14.14.164	1	fraxetin 5-hydroxylase.
1.14.14.165	1	indole-3-carbonyl nitrile 4-hydroxylase.
1.14.14.166	1	(S)-N-methylcanadine 1-hydroxylase.
1.14.14.167	1	(13S,14R)-13-O-acetyl-1-hydroxy-N-methylcanadine 8-hydroxylase.
1.14.14.168	2	germacreene A acid 8beta-hydroxylase.
1.14.14.169	1	eupatolide synthase.
1.14.14.170	1	8-epi-inunolide synthase.
1.14.14.171	1	beta-amyrin 16alpha-hydroxylase.
1.14.14.172	0	3,5,6-trichloropyridin-2-ol monooxygenase.
1.14.14.173	1	2,4,6-trichlorophenol monooxygenase.
1.14.14.174	1	geranylhydroquinone 3''-hydroxylase.
1.14.14.175	5	ferruginol synthase.
1.14.14.176	2	taxadiene 5alpha-hydroxylase.
1.14.14.177	1	ultra-long-chain fatty acid omega-hydroxylase.
1.14.14.178	4	steroid 22S-hydroxylase.
1.14.14.179	3	brassinosteroid 6-oxygenase.
1.14.14.180	2	brassinolide synthase.
1.14.14.181	2	sulfoquinovose monooxygenase.
1.14.14.182	2	taxoid 7beta-hydroxylase.
1.14.14.183	2	taxoid 2alpha-hydroxylase.
1.14.14.184	1	5-dehydro-6-demethoxyfumagillol synthase.
1.14.14.185	1	taxane 9alpha-hydroxylase.
1.14.14.186	1	tryptamine 5-hydroxylase.
1.14.14.187	1	rhazimal synthase.
1.14.14.188	2	norfluorocurarine 18-hydroxylase.
1.14.14.189	1	strychnine 10-hydroxylase.
1.14.14.190	1	beta-colubrine 11-hydroxylase.
1.14.14.191	1	taxane oxetanase 1.
1.14.14.192	1	taxoid 1beta-hydroxylase.
1.14.14.193	1	taxol side chain-2'-hydroxylase.
1.14.14.194	4	ecgonone synthase.
1.14.14.195	2	littorine mutase.
1.14.14.196	1	polyporic acid monooxygenase.
1.14.14.197	0	progesterone 11alpha-monooxygenase.
1.14.15.1	1	camphor 5-monooxygenase.
1.14.15.3	7	alkane 1-monooxygenase.
1.14.15.4	14	steroid 11beta-monooxygenase.
1.14.15.5	7	corticosterone 18-monooxygenase.
1.14.15.6	13	cholesterol monooxygenase (side-chain-cleaving).
1.14.15.7	5	choline monooxygenase.
1.14.15.8	1	steroid 15beta-monooxygenase.
1.14.15.9	3	spheroidene monooxygenase.
1.14.15.10	0	(+)-camphor 6-endo-hydroxylase.
1.14.15.11	1	pentalenic acid synthase.
1.14.15.13	1	pulcherriminic acid synthase.
1.14.15.14	3	methyl-branched lipid omega-hydroxylase.
1.14.15.15	5	cholestanetriol 26-monooxygenase.
1.14.15.16	3	vitamin D3 24-hydroxylase.
1.14.15.17	2	pheophorbide a oxygenase.
1.14.15.18	3	calcidiol 1-monooxygenase.
1.14.15.19	1	C-19 steroid 1alpha-hydroxylase.
1.14.15.20	0	heme oxygenase (biliverdin-producing, ferredoxin).
1.14.15.21	8	zeaxanthin epoxidase.
1.14.15.22	1	vitamin D 1,25-hydroxylase.
1.14.15.23	1	chloroacetanilide N-alkylformylase.
1.14.15.24	10	beta-carotene 3-hydroxylase.
1.14.15.25	0	p-cymene methyl-monooxygenase.
1.14.15.26	1	toluene methyl-monooxygenase.
1.14.15.27	3	beta-dihydromenaquinone-9 omega-hydroxylase.
1.14.15.28	6	cholest-4-en-3-one 26-monooxygenase [(25R)-3-oxocholest-4-en-26-oateforming].
1.14.15.29	5	cholest-4-en-3-one 26-monooxygenase [(25S)-3-oxocholest-4-en-26-oateforming].
1.14.15.30	10	3-ketosteroid 9alpha-monooxygenase.
1.14.15.31	1	2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase.
1.14.15.32	1	pentalenene oxygenase.
1.14.15.33	1	pikromycin synthase.
1.14.15.34	1	20-oxo-5-O-mycaminosyltylactone 23-monooxygenase.
1.14.15.35	1	6-deoxyerythronolide B hydroxylase.
1.14.15.36	4	sterol 14alpha-demethylase (ferredoxin).
1.14.15.37	1	luteothin monooxygenase.
1.14.15.38	2	N,N-dimethyl phenylurea N-demethylase.
1.14.15.39	1	epi-isozizaene 5-monooxygenase.
1.14.15.40	0	cyclohexane-1-carboxylate 4-trans-hydroxylase.
1.14.15.41	2	L-tryptophan 4-nitrase.
1.14.15.42	1	L-tyrosine 3-nitrase.
1.14.15.43	1	nocardicin C N-oxygenase.
1.14.15.44	1	3-dehydro-2,22-dideoxyecdysone 22-hydroxylase.
1.14.15.45	11	4-hydroxy-3-polyprenylbenzoate 5-hydroxylase.
1.14.15.46	11	2-methoxy-6-polyprenylphenol 4-hydroxylase.
1.14.16.1	16	phenylalanine 4-monooxygenase.
1.14.16.2	12	tyrosine 3-monooxygenase.
1.14.16.4	14	tryptophan 5-monooxygenase.
1.14.16.5	6	alkylglycerol monooxygenase.
1.14.16.6	0	mandelate 4-monooxygenase.
1.14.16.7	1	phenylalanine 3-monooxygenase.
1.14.17.1	6	dopamine beta-monooxygenase.
1.14.17.3	9	peptidylglycine monooxygenase.
1.14.17.4	31	aminocyclopropanecarboxylate oxidase.
1.14.18.1	40	tyrosinase.
1.14.18.2	11	CMP-N-acetylneuraminate monooxygenase.
1.14.18.3	2	methane monooxygenase (particulate).
1.14.18.4	1	phosphatidylcholine 12-monooxygenase.
1.14.18.5	7	sphingolipid C4-monooxygenase.
1.14.18.6	1	4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase.
1.14.18.7	3	dihydroceramide fatty acyl 2-hydroxylase.
1.14.18.9	16	4alpha-methylsterol monooxygenase.
1.14.18.10	2	plant 4,4-dimethylsterol C-4alpha-methyl-monooxygenase.
1.14.18.11	3	plant 4alpha-monomethylsterol monooxygenase.
1.14.18.12	2	2-hydroxy fatty acid dioxygenase.
1.14.19.1	21	stearoyl-CoA 9-desaturase.
1.14.19.2	30	stearoyl-[acyl-carrier-protein] 9-desaturase.
1.14.19.3	11	acyl-CoA 6-desaturase.
1.14.19.4	1	acyl-lipid (11-3)-desaturase.
1.14.19.5	4	acyl-CoA 11-(Z)-desaturase.
1.14.19.6	7	acyl-CoA (9+3)-desaturase.
1.14.19.8	2	pentalenolactone synthase.
1.14.19.9	3	tryptophan 7-halogenase.
1.14.19.10	1	icosanoyl-CoA 5-desaturase.
1.14.19.11	6	acyl-[acyl-carrier-protein] 4-desaturase.
1.14.19.12	1	acyl-lipid omega-(9-4) desaturase.
1.14.19.13	1	acyl-CoA 15-desaturase.
1.14.19.14	2	linoleoyl-lipid Delta(9) conjugase.
1.14.19.15	1	(11Z)-hexadec-11-enoyl-CoA conjugase.
1.14.19.16	2	linoleoyl-lipid Delta(12) conjugase (11E,13Z-forming).
1.14.19.17	20	sphingolipid 4-desaturase.
1.14.19.18	6	sphingolipid 8-(E)-desaturase.
1.14.19.19	1	sphingolipid 10-desaturase.
1.14.19.20	18	Delta(7)-sterol 5(6)-desaturase.
1.14.19.21	8	cholesterol 7-desaturase.
1.14.19.22	1	acyl-lipid omega-6 desaturase (cytochrome b5).
1.14.19.23	4	acyl-lipid (n+3)-(Z)-desaturase (ferredoxin).
1.14.19.24	0	acyl-CoA 11-(E)-desaturase.
1.14.19.25	3	acyl-lipid omega-3 desaturase (cytochrome b5).
1.14.19.26	1	acyl-[acyl-carrier-protein] 6-desaturase.
1.14.19.27	1	sn-2 palmitoyl-lipid 9-desaturase.
1.14.19.28	2	sn-1 stearoyl-lipid 9-desaturase.
1.14.19.29	4	sphingolipid 8-(E/Z)-desaturase.
1.14.19.30	5	acyl-lipid (8-3)-desaturase.
1.14.19.31	5	acyl-lipid (7-3)-desaturase.
1.14.19.32	0	palmitoyl-CoA 14-(E/Z)-desaturase.
1.14.19.33	3	Delta(12) acyl-lipid conjugase (11E,13E-forming).
1.14.19.34	2	acyl-lipid (9+3)-(E)-desaturase.
1.14.19.35	3	sn-2 acyl-lipid omega-3 desaturase (ferredoxin).
1.14.19.36	2	sn-1 acyl-lipid omega-3 desaturase (ferredoxin).
1.14.19.37	3	acyl-CoA 5-desaturase.
1.14.19.38	1	acyl-lipid Delta(6)-acetylenase.
1.14.19.39	1	acyl-lipid Delta(12)-acetylenase.
1.14.19.40	1	hex-5-enoyl-[acyl-carrier protein] acetylenase.
1.14.19.41	11	sterol 22-desaturase.
1.14.19.42	1	palmitoyl-[glycerolipid] 7-desaturase.
1.14.19.43	1	palmitoyl-[glycerolipid] 3-(E)-desaturase.
1.14.19.44	8	acyl-CoA (8-3)-desaturase.
1.14.19.45	5	sn-1 oleoyl-lipid 12-desaturase.
1.14.19.46	2	sn-1 linoleoyl-lipid 6-desaturase.
1.14.19.47	4	acyl-lipid (9-3)-desaturase.
1.14.19.48	1	tert-amyl alcohol desaturase.
1.14.19.49	1	tetracycline 7-halogenase.
1.14.19.50	5	noroxomaritidine synthase.
1.14.19.51	1	(S)-corytuberine synthase.
1.14.19.52	1	camalexin synthase.
1.14.19.53	3	all-trans-retinol 3,4-desaturase.
1.14.19.54	1	1,2-dehydroreticuline synthase.
1.14.19.55	2	4-hydroxybenzoate brominase (decarboxylating).
1.14.19.56	1	1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase.
1.14.19.57	1	1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] brominase.
1.14.19.58	1	tryptophan 5-halogenase.
1.14.19.59	2	tryptophan 6-halogenase.
1.14.19.60	1	7-chloro-L-tryptophan 6-halogenase.
1.14.19.61	1	dihydrorhizobitoxine desaturase.
1.14.19.62	2	secologanin synthase.
1.14.19.63	0	pseudobaptigenin synthase.
1.14.19.64	3	(S)-stylopine synthase.
1.14.19.65	2	(S)-cheilanthifoline synthase.
1.14.19.66	1	berbamunine synthase.
1.14.19.67	1	salutaridine synthase.
1.14.19.68	4	(S)-canadine synthase.
1.14.19.69	2	biflaviolin synthase.
1.14.19.70	2	mycocyclosin synthase.
1.14.19.71	3	fumitremorgin C synthase.
1.14.19.72	2	(-)-pluviatolide synthase.
1.14.19.73	2	(S)-nandinine synthase.
1.14.19.74	2	(+)-piperitol/(+)-sesamin synthase.
1.14.19.75	1	very-long-chain acyl-lipid omega-9 desaturase.
1.14.19.76	3	flavone synthase II.
1.14.19.77	4	plasmanylethanolamine desaturase.
1.14.19.78	1	decanoyl-[acyl-carrier protein] acetylenase.
1.14.19.79	2	3beta,22alpha-dihydroxysteroid 3-dehydrogenase.
1.14.19.80	5	(19E)-geissoschizine oxidase.
1.14.19.81	2	polyneuridine aldehyde synthase.
1.14.19.82	2	tryptophan 5-brominase (NADPH).
1.14.19.n4	2	stearoyl-CoA 9-desaturase (NADPH).
1.14.19.n5	3	versicolorin B desaturase.
1.14.20.1	3	deacetoxycephalosporin-C synthase.
1.14.20.3	1	(5R)-carbapenem-3-carboxylate synthase.
1.14.20.4	10	anthocyanidin synthase.
1.14.20.5	1	flavone synthase I.
1.14.20.6	13	flavonol synthase.
1.14.20.7	6	2-oxoglutarate/L-arginine monooxygenase/decarboxylase (succinate-forming).
1.14.20.8	1	(-)-deoxypodophyllotoxin synthase.
1.14.20.9	2	tyrosine isonitrile desaturase.
1.14.20.10	1	tyrosine isonitrile desaturase/decarboxylase.
1.14.20.11	1	3-[(Z)-2-isocyanoethenyl]-1H-indole synthase.
1.14.20.12	0	3-[(E)-2-isocyanoethenyl]-1H-indole synthase.
1.14.20.13	2	6beta-hydroxyhyoscyamine epoxidase.
1.14.20.14	0	hapalindole-type alkaloid chlorinase.
1.14.20.15	1	L-threonyl-[L-threonyl-carrier protein] 4-chlorinase.
1.14.20.16	1	4alpha,5beta-5,20-epoxytax-11-ene-4,9-diol 9-dehydrogenase.
1.14.99.1	17	prostaglandin-endoperoxide synthase.
1.14.99.2	0	kynurenine 7,8-hydroxylase.
1.14.99.4	0	progesterone monooxygenase.
1.14.99.11	0	estradiol 6beta-monooxygenase.
1.14.99.12	0	androst-4-ene-3,17-dione monooxygenase.
1.14.99.15	1	4-methoxybenzoate monooxygenase (O-demethylating).
1.14.99.20	0	phylloquinone monooxygenase (2,3-epoxidizing).
1.14.99.21	0	Latia-luciferin monooxygenase (demethylating).
1.14.99.22	1	ecdysone 20-monooxygenase.
1.14.99.23	0	3-hydroxybenzoate 2-monooxygenase.
1.14.99.24	0	steroid 9alpha-monooxygenase.
1.14.99.26	0	2-hydroxypyridine 5-monooxygenase.
1.14.99.29	40	deoxyhypusine monooxygenase.
1.14.99.34	0	monoprenyl isoflavone epoxidase.
1.14.99.35	0	thiophene-2-carbonyl-CoA monooxygenase.
1.14.99.38	5	cholesterol 25-monooxygenase.
1.14.99.39	2	ammonia monooxygenase.
1.14.99.44	1	diapolycopene oxygenase.
1.14.99.46	66	pyrimidine monooxygenase.
1.14.99.47	1	(+)-larreatricin hydroxylase.
1.14.99.48	25	heme oxygenase (staphylobilin-producing).
1.14.99.50	4	gamma-glutamyl hercynylcysteine S-oxide synthase.
1.14.99.52	0	L-cysteinyl-L-histidinylsulfoxide synthase.
1.14.99.53	2	lytic chitin monooxygenase.
1.14.99.54	69	lytic cellulose monooxygenase (C1-hydroxylating).
1.14.99.55	5	lytic starch monooxygenase.
1.14.99.56	99	lytic cellulose monooxygenase (C4-dehydrogenating).
1.14.99.57	2	heme oxygenase (mycobilin-producing).
1.14.99.58	2	heme oxygenase (biliverdin-IX-beta and delta-forming).
1.14.99.59	2	tryptamine 4-monooxygenase.
1.14.99.60	118	3-demethoxyubiquinol 3-hydroxylase.
1.14.99.61	1	cyclooctat-9-en-7-ol 5-monooxygenase.
1.14.99.62	1	cyclooctatin synthase.
1.14.99.63	6	beta-carotene 4-ketolase.
1.14.99.64	1	zeaxanthin 4-ketolase.
1.14.99.65	1	4-amino-L-phenylalanyl-[CmlP-peptidyl-carrier-protein] 3-hydroxylase.
1.14.99.66	9	[histone-H3]-N(6),N(6)-dimethyl-L-lysine(4) FAD-dependent demethylase.
1.14.99.67	1	alpha-N-dichloroacetyl-p-aminophenylserinol N-oxygenase.
1.14.99.68	1	4-aminobenzoate N-oxygenase.
1.14.99.69	2	tRNA 2-(methylsulfanyl)-N(6)-isopentenyladenosine(37) hydroxylase.
1.14.99.n4	5	carotenoid 9,10-dioxygenase.
1.15.1.1	456	superoxide dismutase.
1.15.1.2	14	superoxide reductase.
1.16.1.1	14	mercury(II) reductase.
1.16.1.2	0	diferric-transferrin reductase.
1.16.1.6	5	cyanocobalamin reductase.
1.16.1.7	17	ferric-chelate reductase (NADH).
1.16.1.8	5	[methionine synthase] reductase.
1.16.1.9	13	ferric-chelate reductase (NADPH).
1.16.1.10	3	ferric-chelate reductase [NAD(P)H].
1.16.2.1	0	iron--cytochrome-c reductase.
1.16.3.1	121	ferroxidase.
1.16.3.2	23	bacterial non-heme ferritin.
1.16.3.3	0	manganese oxidase.
1.16.3.4	10	cuproxidase.
1.16.9.1	0	iron:rusticyanin reductase.
1.16.99.1	1	[Co(II) methylated amine-specific corrinoid protein] reductase.
1.17.1.1	0	CDP-4-dehydro-6-deoxyglucose reductase.
1.17.1.3	1	leucoanthocyanidin reductase.
1.17.1.4	24	xanthine dehydrogenase.
1.17.1.5	4	nicotinate dehydrogenase.
1.17.1.8	564	4-hydroxy-tetrahydrodipicolinate reductase.
1.17.1.9	30	formate dehydrogenase.
1.17.1.10	2	formate dehydrogenase (NADP(+)).
1.17.1.11	0	formate dehydrogenase (NAD(+), ferredoxin).
1.17.2.1	2	nicotinate dehydrogenase (cytochrome).
1.17.2.2	1	lupanine 17-hydroxylase (cytochrome c).
1.17.2.3	1	formate dehydrogenase (cytochrome c-553).
1.17.3.1	0	pteridine oxidase.
1.17.3.2	6	xanthine oxidase.
1.17.3.3	0	6-hydroxynicotinate dehydrogenase.
1.17.3.4	0	juglone 3-hydroxylase.
1.17.3.5	1	4-oxocyclohexanecarboxylate 2-dehydrogenase.
1.17.4.1	188	ribonucleoside-diphosphate reductase.
1.17.4.2	14	ribonucleoside-triphosphate reductase (thioredoxin).
